Shot,Flyer,VF(km/s),vf_err,UP(km/s),up_err,US(km/s),us_err,ρ(g/cm3),rho_err,Pressure(GPa),p_err
Z2800N,Al,11.77,0.05,6.66,0.04,11.67,0.04,5.128,0.053,171.1,1.2
Z3101N,Al,12.75,0.08,7.16,0.06,12.43,0.09,5.191,0.090,195.8,1.9
Z2879N,Al,12.86,0.15,7.20,0.10,12.62,0.08,5.120,0.113,199.8,3.0
Z2800S,Al,13.10,0.05,7.33,0.04,12.73,0.04,5.189,0.050,205.4,1.3
Z2512N,Al,13.32,0.05,7.44,0.04,12.90,0.04,5.203,0.049,211.3,1.3
Z2662S,Al,13.71,0.13,7.62,0.09,13.34,0.09,5.127,0.101,223.5,2.8
Z3101S,Al,13.77,0.09,7.66,0.07,13.29,0.06,5.198,0.073,224.1,2.0
Z2879S,Al,13.87,0.08,7.74,0.06,13.26,0.07,5.281,0.077,225.7,1.9
Z2662N,Al,13.92,0.13,7.74,0.09,13.43,0.09,5.189,0.103,228.6,2.8
Z2792N,Al,14.66,0.08,8.11,0.06,13.98,0.06,5.243,0.067,249.5,2.0
Z2792S,Al,14.75,0.09,8.17,0.06,14.02,0.05,5.268,0.067,251.8,2.1
Z2455N,Al,15.06,0.08,8.32,0.06,14.27,0.09,5.276,0.081,261.2,2.2
Z2463N,Al,15.39,0.05,8.48,0.04,14.53,0.04,5.288,0.045,271.2,1.5
Z2868S,Al,15.68,0.06,8.64,0.05,14.70,0.09,5.338,0.075,279.5,1.9
Z2868N,Al,15.74,0.07,8.67,0.05,14.74,0.06,5.345,0.062,281.2,1.9
Z3097N,Al,15.75,0.08,8.67,0.06,14.80,0.06,5.309,0.065,282.2,2.1
Z3160N,Al,16.14,0.08,8.86,0.06,15.10,0.07,5.327,0.068,294.5,2.2
Z2455S,Al,16.30,0.09,8.95,0.07,15.18,0.09,5.363,0.082,299.0,2.5
Z3098N,Al,16.57,0.10,9.10,0.07,15.32,0.05,5.421,0.070,306.8,2.5
Z2024N,Al,16.69,0.05,9.15,0.04,15.47,0.04,5.386,0.044,311.4,1.6
Z2024N,Al,16.72,0.05,9.16,0.04,15.51,0.04,5.376,0.043,312.6,1.6
Z2586N,Al,16.72,0.05,9.17,0.04,15.46,0.04,5.410,0.044,312.0,1.6
Z2024N,Al,16.73,0.05,9.18,0.04,15.47,0.04,5.408,0.044,312.3,1.6
Z3159N,Al,16.97,0.08,9.29,0.06,15.67,0.07,5.407,0.068,320.4,2.3
Z2586S,Al,17.23,0.05,9.43,0.04,15.86,0.04,5.424,0.043,328.9,1.6
Z3097S,Al,17.25,0.08,9.44,0.06,15.86,0.06,5.435,0.063,329.4,2.2
Z2385N,Al,17.43,0.08,9.53,0.06,16.00,0.06,5.441,0.063,335.5,2.2
Z2476N,Al,17.44,0.05,9.55,0.04,15.95,0.04,5.480,0.044,335.0,1.6
Z3160S,Al,17.50,0.09,9.54,0.07,16.16,0.14,5.374,0.104,339.3,3.0
Z3172N,Al,17.76,0.06,9.70,0.05,16.23,0.09,5.469,0.071,346.4,2.1
Z2386N,Al,17.91,0.04,9.79,0.04,16.27,0.06,5.525,0.051,350.5,1.6
Z3098S,Al,17.96,0.11,9.80,0.08,16.38,0.06,5.478,0.075,353.2,2.9
Z2582N,Al,18.29,0.05,9.98,0.04,16.59,0.04,5.519,0.043,364.1,1.7
Z3159S,Al,18.50,0.07,10.08,0.05,16.74,0.06,5.533,0.058,371.4,2.2
Z2025N,Al,18.59,0.05,10.13,0.04,16.82,0.04,5.529,0.042,374.7,1.7
Z2025N,Al,18.60,0.05,10.14,0.04,16.78,0.04,5.561,0.043,374.4,1.7
Z2025N,Al,18.61,0.05,10.13,0.04,16.85,0.04,5.520,0.042,375.7,1.7
Z3033N,Al,18.92,0.09,10.29,0.07,17.08,0.08,5.535,0.074,386.7,2.7
Z2385S,Al,18.93,0.09,10.32,0.07,16.99,0.08,5.601,0.076,385.6,2.7
Z2045N,Al,19.10,0.05,10.39,0.04,17.20,0.04,5.552,0.041,393.0,1.7
Z2194N,Al,19.11,0.05,10.39,0.04,17.21,0.05,5.551,0.046,393.4,1.8
Z2045N,Al,19.13,0.05,10.40,0.04,17.23,0.04,5.549,0.041,394.2,1.7
Z3172S,Al,19.15,0.05,10.42,0.04,17.19,0.07,5.586,0.057,394.1,1.9
Z2045N,Al,19.18,0.05,10.43,0.04,17.23,0.04,5.575,0.042,395.4,1.7
Z2582S,Al,19.30,0.05,10.49,0.04,17.35,0.04,5.561,0.041,400.2,1.8
Z2386S,Al,19.47,0.06,10.57,0.05,17.47,0.06,5.572,0.053,406.4,2.1
Z2476S,Al,19.55,0.05,10.61,0.04,17.54,0.04,5.569,0.041,409.5,1.8
Z1971N,Al,19.65,0.05,10.68,0.04,17.52,0.04,5.636,0.042,411.7,1.8
Z1955N,Al,20.35,0.05,11.03,0.04,18.05,0.04,5.659,0.041,438.1,1.8
Z3033S,Al,20.36,0.10,11.03,0.07,18.08,0.07,5.645,0.072,438.9,3.1
Z1956N,Al,20.40,0.05,11.06,0.04,18.08,0.04,5.666,0.041,439.9,1.8
Z1985N,Al,20.45,0.05,11.07,0.04,18.19,0.04,5.620,0.040,443.0,1.9
